vehicle_id,brand,model,category,year,price_usd,product_url,voltage_v,battery_ah,peak_kw,rated_kw,top_speed_mph,range_mi,weight_kg,wheelbase_mm,front_suspension,rear_suspension,controller,frame,regen,colors,warranty,notes,data_quality,source
can-am-outlander-electric,Can-Am,Outlander Electric,e-atv,2026,12999,https://can-am.brp.com/off-road/us/en/models/atv/utility-rec/outlander-electric.html,,,35,20,50,50,398,1345,Double A-arm 9.75 in (248 mm),Double A-arm 10.25 in (260 mm),,,,White; Granite Grey; Dark Wildland Camo,Battery 5 years (12427 miles); motor 1-year; vehicle 1-year,World first mass-produced e-ATV. 8.9 kWh. 47 hp / 53 lb-ft. High gear 50 mph / low 28 mph. Range up to 50 mi (avg utility 31 mi). Dry weight 875 lb from 2026 spec PDF. Current site also lists 2027 MY from $13249. Outlander MAX Electric 2-up from $14549.,verified,https://can-am.brp.com/off-road/us/en/models/atv/utility-rec/outlander-electric.html
cfmoto-uforce-u6-ev,CFMOTO,UFORCE U6 EV,e-utv,2025,,https://cfmoto.eu/side-by-side/uforce-u6-e/,300,,35,,50,68,680,1950,Dual A-arm independent coil/oil,Dual A-arm independent coil/oil,,,yes,Metallic Grey,2-year vehicle; 5-year unlimited km battery,"Official AU: 35 kW PMSM, 74 Nm, 15.2 kWh nominal (flyer 300V/15.29 kWh), 80 km/h, 110 km at 30-40 km/h, wet 680 kg. AU ride-away $24490 — not converted to USD. EU listings from about EUR 16990. US retail availability not confirmed on this page.",verified,https://cfmoto.eu/side-by-side/uforce-u6-e/
polaris-ranger-xp-kinetic-premium,Polaris,RANGER XP Kinetic Premium,e-utv,2024,,https://www.polaris.com/en-us/off-road/ranger/models/ranger-xp-kinetic/ranger-xp-kinetic-premium-icy-white-pearl-specs/,,,82,,,45,796,2060,Dual A-Arm 10 in (254 mm),Dual A-Arm IRS 10 in (254 mm),,,yes,Icy White Pearl; Polaris Pursuit Camo,,"Official archive spec: 14.9 kWh Li-ion, 110 HP IPM AC motor (82 kW), 140 lb-ft, 45 mi estimated range at 25 mph with 250 lb cargo. Dry 1754 lb. 3-seat. Still the current Kinetic Premium datasheet on polaris.com. USD MSRP not on spec page.",verified,https://www.polaris.com/en-us/off-road/ranger/models/ranger-xp-kinetic/ranger-xp-kinetic-premium-icy-white-pearl-specs/
polaris-ranger-xp-kinetic-ultimate,Polaris,RANGER XP Kinetic Ultimate,e-utv,2025,,https://www.polaris.com/en-us/off-road/ranger/2024/3-seat/ranger-xp-kinetic/ranger-xp-kinetic-ultimate-icy-white-pearl-2024/,,,82,,,80,,,Dual A-Arm,Dual A-Arm IRS,,,yes,Icy White Pearl; Polaris Pursuit Camo,,"Official Polaris: 29.8 kWh Li-ion, 110 HP / 140 lb-ft, up to 80 mi, 6 kW onboard charger, 7-in Ride Command. Same 110 HP family as Premium. Dry weight not on the fetched official family page (third-party 1982 lb not used). | URL updated 2026-08-20 to live official/official-dealer page.",verified,https://www.polaris.com/en-us/off-road/ranger/2024/3-seat/ranger-xp-kinetic/ranger-xp-kinetic-ultimate-icy-white-pearl-2024/
volcon-hf1,Volcon,HF1,e-utv,2026,,https://volcon.com/products/hf1-dealer,,,,,50,50,,,,,,,,White,,Official current Volcon performance e-UTV (Stag/Grunt pages no longer current). Official: 17.5 kWh; 50+ mph; 50+ mi at 25 mph; 2WD/4WD. USD MSRP not on OEM page (dealers list $29999; not used). Voltage/kW not on OEM spec block.,verified,https://volcon.com/products/hf1-dealer
evoque-streetster-r,Evoque,Streetster R,ebike,,3799,https://ebikes.evoqueca.com/products/evoque-streetster-r-motorcycle-style-e-bike,72,30,,,32,180,200,1350,33-core hydraulic fork,Central hydraulic rear,Advanced controller,Brushless hub motor,High-torque hub motor,"""17"""" tubeless anti-skid tires""","Carbon Grey, Black",,verified,bikes-csv
happyrun-g100-pro,HappyRun,G100 Pro,ebike,2025,,https://happyrunbike.com/products/happyrun-g100-pro,72,33,6,3,50,78,,,Adjustable aluminum alloy fork,,,High-strength carbon steel,,,2-year (dealer listing),"Fat-tire dual-battery e-moto-style bike, not a Sur-Ron-class mid-drive. Official: 3000W / 6000W peak, 72V 18Ah+15Ah, 50 mph, 78 mi. Weight 159 lb from a reseller — not used. Skip G60 (lower-power).",messy,https://happyrunbike.com/products/happyrun-g100-pro
segway-xyber,Segway,Xyber,ebike,2025,3299,https://www.segway.com/ebike/products/xyber.html,48,30,6,0.75,35,112,63,,110 mm wheel travel,100 mm wheel travel,,Aluminum alloy / cast double-cradle,,,,"CES 2025 e-bike / LEV, not a mid-drive dirt bike. Official/PR: 48V 30Ah 1440 Wh per battery; 3000W peak 1-battery / 6000W 2-battery; 35 mph; 56 / 112 mi; 138 lb one battery. MSRP $2999.99-$3299.99. Off-road unclassified; Class 2 version was planned. Pedals + throttle.",verified,https://www.prnewswire.com/news-releases/segway-releases-details-and-opens-pre-orders-on-highly-anticipated-e-bikes-302343685.html
super73-r-adventure,Super73,R Adventure,ebike,,3995,https://super73.com/collections/adventure-series,48,20,,0.75,20,55,88,1785,Inverted fork,Piggyback mono­shock,Hub motor,Aluminum,No,Black/Sand,1 yr,,verified,bikes-csv
super73-s-adventure,Super73,S Adventure,ebike,,2499,https://super73.com/products/super73-s-adventure-series,48,20,1.5,0.75,20,75,80,1785,Front only,Rigid rear,Hub motor,Aluminum,No,Black/White,1 yr,,verified,bikes-csv
